"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20210609:0900",12.8,24,5,24,0.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210610:0900",14.1,24,6.5,24,0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210611:0900",13.4,24,3.3,24,-1.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210612:0900",11,24,2.1,24,-1.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210613:0900",12.2,24,3.1,24,0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210614:0900",12.5,24,9.6,24,8.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210615:0900",12.2,24,8.1,24,3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210616:0900",10.4,24,8.6,24,8.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210617:0900",11.5,24,7.4,24,6.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210618:0900",8.8,24,4.8,24,1.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210619:0900",9.6,24,2.8,24,-1.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210620:0900",9.8,24,2.6,24,-1.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210621:0900",10.9,24,3.8,24,-0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210622:0900",9.9,24,4,24,-0.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210623:0900",9.8,24,6,24,0,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210624:0900",10.7,24,5.4,24,0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210625:0900",14.4,24,7.7,24,2.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210626:0900",13.4,24,8.6,24,4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210627:0900",13.2,24,6.8,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210628:0900",14.8,24,3.3,24,0,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210629:0900",8,24,1.8,24,0,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210630:0900",9.5,24,4.2,24,2.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210701:0900",10.9,24,2.4,24,-3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210702:0900",11.4,24,0.1,24,-5.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210703:0900",11.3,24,1.1,24,-3.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210704:0900",10,24,0.7,24,-4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210705:0900",13.6,24,1.1,24,-4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210706:0900",17.2,24,1.8,24,-2.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210707:0900",19,24,5.6,24,4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210708:0900",7.8,24,3.5,24,-2.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210709:0900",7.5,24,3.5,24,-0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210710:0900",9.4,24,2.9,24,-0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210711:0900",7.7,24,5.1,24,2.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210712:0900",9.7,24,1.1,24,-5.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210713:0900",11.8,24,2.9,24,-2.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210714:0900",10.6,24,1.2,24,-4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210715:0900",13.8,24,3.2,24,-0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210716:0900",9.3,24,6.3,24,3.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210717:0900",10.6,24,7,24,2.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210718:0900",10.3,24,7.4,24,6.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210719:0900",9.1,24,4,24,-0.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210720:0900",10,24,2.5,24,-1.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210721:0900",10,24,3.5,24,-1.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210722:0900",10.9,24,5.3,24,2.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210723:0900",11.7,24,2.6,24,-3.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210724:0900",12.9,24,3.3,24,-1.7,24,NA,NA,NA,"D"
